"citation","Experimental System","Experimental System Type","interaction","Modification","name","Phenotypes","Qualifications","Score","selected","shared interaction","shared name","Throughput"
"pubmed:20360068","Affinity Capture-MS","physical","interacts-with","","Ckap5 (interacts-with) DYNC1H1","","",,"false","interacts-with","Ckap5 (interacts-with) DYNC1H1","High Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","APC (interacts-with) LAMA3","","",,"false","interacts-with","APC (interacts-with) LAMA3","High Throughput"
"pubmed:34373451","Negative Genetic","genetic","interacts-with","","KRAS (interacts-with) SNRNP200","Growth abnormality[viability]","CRISPR GI screen|Cell Line: PC9-Cas9-KRASG12V|Experimental Setup: Negative selection in the presence of 40 nM erlotinib|GIST: A-phenotypic negative genetic interaction|Library: Brunello Library|Significance Threshold:|CS|>0.5 and p<0.05",,"false","interacts-with","KRAS (interacts-with) SNRNP200","High Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","APC (interacts-with) LAMA4","","",,"false","interacts-with","APC (interacts-with) LAMA4","High Throughput"
"pubmed:32129710","Affinity Capture-MS","physical","interacts-with","","Apc2 (interacts-with) SF3A2","","",,"false","interacts-with","Apc2 (interacts-with) SF3A2","High Throughput"
"pubmed:20360068","Affinity Capture-MS","physical","interacts-with","","Ddx41 (interacts-with) DDX41","","",,"false","interacts-with","Ddx41 (interacts-with) DDX41","High Throughput"
"pubmed:22939629","Co-fractionation","physical","interacts-with","","SDHA (interacts-with) ZC3H4","","Denoised score >= 0.75","0.822","false","interacts-with","SDHA (interacts-with) ZC3H4","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) EZR","","",,"false","interacts-with","TP53 (interacts-with) EZR","High Throughput"
"pubmed:23414517","Two-hybrid","physical","interacts-with","","C1QTNF9 (interacts-with) TTN","","",,"false","interacts-with","C1QTNF9 (interacts-with) TTN","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","SCN4A (interacts-with) XIRP1","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.999992871, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.999992871","false","interacts-with","SCN4A (interacts-with) XIRP1","High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","DENND4A (interacts-with) DENND1A","","",,"false","interacts-with","DENND4A (interacts-with) DENND1A","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","SIRPA (interacts-with) SIRPB1","","BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","1.0","false","interacts-with","SIRPA (interacts-with) SIRPB1","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","TCL1A (interacts-with) NFKBIA","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","TCL1A (interacts-with) NFKBIA","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) SDHA","","",,"false","interacts-with","TP53 (interacts-with) SDHA","High Throughput"
"pubmed:23414517","Two-hybrid","physical","interacts-with","","BIRC6 (interacts-with) VCL","","",,"false","interacts-with","BIRC6 (interacts-with) VCL","High Throughput"
"pubmed:23414517","Two-hybrid","physical","interacts-with","","C1QTNF9 (interacts-with) DENND4A","","",,"false","interacts-with","C1QTNF9 (interacts-with) DENND4A","High Throughput"
"pubmed:32129710","Affinity Capture-MS","physical","interacts-with","","Apc2 (interacts-with) ENAH","","",,"false","interacts-with","Apc2 (interacts-with) ENAH","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) SF3A2","","",,"false","interacts-with","TP53 (interacts-with) SF3A2","High Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","APC (interacts-with) MYH11","","",,"false","interacts-with","APC (interacts-with) MYH11","High Throughput"
"pubmed:35140242","Proximity Label-MS","physical","interacts-with","","IRF1 (interacts-with) ARID1B","","BioID",,"false","interacts-with","IRF1 (interacts-with) ARID1B","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","TCL1A (interacts-with) TRAF2","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","TCL1A (interacts-with) TRAF2","High Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","APC (interacts-with) NEB","","",,"false","interacts-with","APC (interacts-with) NEB","High Throughput"
"pubmed:16889989","Affinity Capture-Western","physical","interacts-with","","SPTA1 (interacts-with) FANCD2","","",,"false","interacts-with","SPTA1 (interacts-with) FANCD2","Low Throughput"
"pubmed:35140242","Proximity Label-MS","physical","interacts-with","","IRF1 (interacts-with) BCL7A","","BioID",,"false","interacts-with","IRF1 (interacts-with) BCL7A","High Throughput"
"pubmed:35140242","Proximity Label-MS","physical","interacts-with","","IRF1 (interacts-with) ARID2","","BioID",,"false","interacts-with","IRF1 (interacts-with) ARID2","High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","DENND1A (interacts-with) RPTOR","","",,"false","interacts-with","DENND1A (interacts-with) RPTOR","High Throughput"
"pubmed:9624153","Two-hybrid","physical","interacts-with","","PPFIA3 (interacts-with) PPFIA3","","",,"false","interacts-with","PPFIA3 (interacts-with) PPFIA3","Low Throughput"
"pubmed:9721205|pubmed:16189514","Two-hybrid","physical","interacts-with","","RBBP8 (interacts-with) RBL1","","",,"false","interacts-with","RBBP8 (interacts-with) RBL1","Low Throughput|High Throughput"
"pubmed:16889989","Affinity Capture-Western","physical","interacts-with","","SPTA1 (interacts-with) SPTBN4","","",,"false","interacts-with","SPTA1 (interacts-with) SPTBN4","Low Throughput"
"pubmed:20936779","Two-hybrid","physical","interacts-with","","BRAF (interacts-with) PAK2","","",,"false","interacts-with","BRAF (interacts-with) PAK2","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) BMS1","","",,"false","interacts-with","TP53 (interacts-with) BMS1","High Throughput"
"pubmed:28514442|pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","FAM8A1 (interacts-with) FGFR1","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.98139968, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.967960906, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.98139968|0.967960906","false","interacts-with","FAM8A1 (interacts-with) FGFR1","High Throughput"
"pubmed:19299420","Reconstituted Complex|Affinity Capture-Western","physical","interacts-with","","SIRPA (interacts-with) HSP90AB1","","",,"false","interacts-with","SIRPA (interacts-with) HSP90AB1","High Throughput|Low Throughput"
"pubmed:19299420","Reconstituted Complex|Affinity Capture-Western","physical","interacts-with","","SIRPA (interacts-with) ILK","","",,"false","interacts-with","SIRPA (interacts-with) ILK","High Throughput|Low Throughput|Low Throughput"
"pubmed:19299420","Reconstituted Complex","physical","interacts-with","","SIRPA (interacts-with) FUBP1","","",,"false","interacts-with","SIRPA (interacts-with) FUBP1","High Throughput"
"pubmed:23870121|pubmed:29474905|pubmed:31076518","Affinity Capture-Western|Reconstituted Complex|Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) SETD1A","","Figure 4",,"false","interacts-with","TP53 (interacts-with) SETD1A","Low Throughput|High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","SRGAP2 (interacts-with) NAV1","","",,"false","interacts-with","SRGAP2 (interacts-with) NAV1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","MBNL1 (interacts-with) IGLL5","","BioPlex HCT HCT116 cells CompPASS score = 0.993217476, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.993217476","false","interacts-with","MBNL1 (interacts-with) IGLL5","High Throughput"
"pubmed:19299420","Reconstituted Complex","physical","interacts-with","","SIRPA (interacts-with) FLNA","","",,"false","interacts-with","SIRPA (interacts-with) FLNA","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) CDS2","","",,"false","interacts-with","TP53 (interacts-with) CDS2","High Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) C4B","","",,"false","interacts-with","TP53 (interacts-with) C4B","High Throughput"
"pubmed:20068069","Affinity Capture-Western","physical","interacts-with","","NFKBIA (interacts-with) CLU","","",,"false","interacts-with","NFKBIA (interacts-with) CLU","Low Throughput"
"pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) SERINC1","","",,"false","interacts-with","TP53 (interacts-with) SERINC1","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","Rrbp1 (interacts-with) TOP2B","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","Rrbp1 (interacts-with) TOP2B","High Throughput"
"pubmed:23045529","Reconstituted Complex","physical","interacts-with","","IRS1 (interacts-with) UBC","","#LPPI|Likely protein-protein interaction",,"false","interacts-with","IRS1 (interacts-with) UBC","Low Throughput"
