"interaction","name","Score","selected","shared interaction","shared name"
"interacts-with","ITPR3 (interacts-with) STX17","0.857625817036696","false","interacts-with","ITPR3 (interacts-with) STX17"
"interacts-with","ARID1B (interacts-with) BCL7A","0.999992092755681","false","interacts-with","ARID1B (interacts-with) BCL7A"
"interacts-with","BCL7A (interacts-with) POTEJ","0.999999997422982","false","interacts-with","BCL7A (interacts-with) POTEJ"
"interacts-with","HLA-DQB2 (interacts-with) POTEF","0.941335538111447","false","interacts-with","HLA-DQB2 (interacts-with) POTEF"
"interacts-with","HLA-A (interacts-with) HLA-C","0.999563025513137","false","interacts-with","HLA-A (interacts-with) HLA-C"
"interacts-with","KRAS (interacts-with) BRAF","0.999966414961886","false","interacts-with","KRAS (interacts-with) BRAF"
"interacts-with","SERPINA1 (interacts-with) STX17","0.998958166388664","false","interacts-with","SERPINA1 (interacts-with) STX17"
"interacts-with","AP2M1 (interacts-with) APC","0.999935046214584","false","interacts-with","AP2M1 (interacts-with) APC"
"interacts-with","HLA-B (interacts-with) HLA-DQA1","0.859249731801406","false","interacts-with","HLA-B (interacts-with) HLA-DQA1"
"interacts-with","HLA-B (interacts-with) HLA-C","0.99999962220304","false","interacts-with","HLA-B (interacts-with) HLA-C"
"interacts-with","KIR2DL4 (interacts-with) ATP2B2","0.914950406351617","false","interacts-with","KIR2DL4 (interacts-with) ATP2B2"
"interacts-with","KIR2DL4 (interacts-with) ATP12A","0.961519440170305","false","interacts-with","KIR2DL4 (interacts-with) ATP12A"
"interacts-with","POTEG (interacts-with) POTEF","0.999989597917081","false","interacts-with","POTEG (interacts-with) POTEF"
"interacts-with","HLA-B (interacts-with) ATP12A","0.920369761827103","false","interacts-with","HLA-B (interacts-with) ATP12A"
"interacts-with","PRKD2 (interacts-with) TERT","0.846315757720897","false","interacts-with","PRKD2 (interacts-with) TERT"
"interacts-with","KIR2DL4 (interacts-with) LAPTM4B","0.999902702313767","false","interacts-with","KIR2DL4 (interacts-with) LAPTM4B"
"interacts-with","CCT8L2 (interacts-with) ZNF507","0.842476383562776","false","interacts-with","CCT8L2 (interacts-with) ZNF507"
"interacts-with","CCT8L2 (interacts-with) DIS3","0.841745699876529","false","interacts-with","CCT8L2 (interacts-with) DIS3"
"interacts-with","AP2M1 (interacts-with) CHD8","0.999308980969396","false","interacts-with","AP2M1 (interacts-with) CHD8"
"interacts-with","AP2M1 (interacts-with) KIF13A","0.999999843011904","false","interacts-with","AP2M1 (interacts-with) KIF13A"
"interacts-with","XIRP1 (interacts-with) SCN4A","0.999992871074026","false","interacts-with","XIRP1 (interacts-with) SCN4A"
"interacts-with","GPNMB (interacts-with) IL31RA","0.80750280300942","false","interacts-with","GPNMB (interacts-with) IL31RA"
"interacts-with","HLA-B (interacts-with) RNF213","0.339498080524908","false","interacts-with","HLA-B (interacts-with) RNF213"
"interacts-with","RARG (interacts-with) RXRB","0.999996349896754","false","interacts-with","RARG (interacts-with) RXRB"
"interacts-with","RBM23 (interacts-with) RPL10","0.9596100689347","false","interacts-with","RBM23 (interacts-with) RPL10"
"interacts-with","EML2 (interacts-with) TUBB8","0.999920859208863","false","interacts-with","EML2 (interacts-with) TUBB8"
