"FBS_max","interaction","name","PFC","selected","shared interaction","shared name"
"10.577","has functional association with","TP53 (has functional association with) CUL9","0.975","false","has functional association with","TP53 (has functional association with) CUL9"
"9.951","has functional association with","UBC (has functional association with) VPS13A","0.954","false","has functional association with","UBC (has functional association with) VPS13A"
"10.679","has functional association with","LARS1 (has functional association with) DIS3","0.977","false","has functional association with","LARS1 (has functional association with) DIS3"
"12.314","has functional association with","SPTAN1 (has functional association with) DYNC1H1","0.996","false","has functional association with","SPTAN1 (has functional association with) DYNC1H1"
"9.963","has functional association with","TP53 (has functional association with) TOP2B","0.955","false","has functional association with","TP53 (has functional association with) TOP2B"
"17.778","has functional association with","ATP2B2 (has functional association with) ATP2B3","1.0","false","has functional association with","ATP2B2 (has functional association with) ATP2B3"
"14.017","has functional association with","TTN (has functional association with) NEB","0.999","false","has functional association with","TTN (has functional association with) NEB"
"10.46","has functional association with","UBC (has functional association with) PRPF8","0.972","false","has functional association with","UBC (has functional association with) PRPF8"
"10.726","has functional association with","DYNC1H1 (has functional association with) GCN1","0.979","false","has functional association with","DYNC1H1 (has functional association with) GCN1"
"10.527","has functional association with","SACS (has functional association with) CAD","0.974","false","has functional association with","SACS (has functional association with) CAD"
"10.425","has functional association with","TTN (has functional association with) RYR1","0.971","false","has functional association with","TTN (has functional association with) RYR1"
"15.084","has functional association with","SPTAN1 (has functional association with) SPTBN4","1.0","false","has functional association with","SPTAN1 (has functional association with) SPTBN4"
"10.105","has functional association with","DYNC1H1 (has functional association with) PABPC3","0.961","false","has functional association with","DYNC1H1 (has functional association with) PABPC3"
"11.55","has functional association with","SPTAN1 (has functional association with) EZR","0.99","false","has functional association with","SPTAN1 (has functional association with) EZR"
"10.084","has functional association with","DYNC1H1 (has functional association with) RAB21","0.96","false","has functional association with","DYNC1H1 (has functional association with) RAB21"
"13.064","has functional association with","RB1 (has functional association with) TAF1","0.998","false","has functional association with","RB1 (has functional association with) TAF1"
"15.798","has functional association with","PABPC1 (has functional association with) SNRNP200","1.0","false","has functional association with","PABPC1 (has functional association with) SNRNP200"
"11.112","has functional association with","HUWE1 (has functional association with) UBC","0.985","false","has functional association with","HUWE1 (has functional association with) UBC"
"13.678","has functional association with","PABPC1 (has functional association with) HNRNPL","0.999","false","has functional association with","PABPC1 (has functional association with) HNRNPL"
"17.646","has functional association with","BMS1 (has functional association with) WDR3","1.0","false","has functional association with","BMS1 (has functional association with) WDR3"
"10.946","has functional association with","HUWE1 (has functional association with) CAD","0.983","false","has functional association with","HUWE1 (has functional association with) CAD"
"18.803","has functional association with","SPTAN1 (has functional association with) SPTB","1.0","false","has functional association with","SPTAN1 (has functional association with) SPTB"
"12.118","has functional association with","PRIM2 (has functional association with) SMC4","0.995","false","has functional association with","PRIM2 (has functional association with) SMC4"
"15.797","has functional association with","PABPC1 (has functional association with) DYNC1H1","1.0","false","has functional association with","PABPC1 (has functional association with) DYNC1H1"
"12.122","has functional association with","LARS1 (has functional association with) PRPF8","0.995","false","has functional association with","LARS1 (has functional association with) PRPF8"
"10.29","has functional association with","RPL10 (has functional association with) BMS1","0.967","false","has functional association with","RPL10 (has functional association with) BMS1"
"10.121","has functional association with","NIPBL (has functional association with) TOP2B","0.961","false","has functional association with","NIPBL (has functional association with) TOP2B"
"11.487","has functional association with","STX17 (has functional association with) NRAS","0.99","false","has functional association with","STX17 (has functional association with) NRAS"
"10.241","has functional association with","AP2M1 (has functional association with) KIF13A","0.966","false","has functional association with","AP2M1 (has functional association with) KIF13A"
"10.76","has functional association with","TRAF2 (has functional association with) CAD","0.979","false","has functional association with","TRAF2 (has functional association with) CAD"
"11.202","has functional association with","BMS1 (has functional association with) GCN1","0.987","false","has functional association with","BMS1 (has functional association with) GCN1"
"13.323","has functional association with","HUWE1 (has functional association with) VPS13A","0.998","false","has functional association with","HUWE1 (has functional association with) VPS13A"
"9.923","has functional association with","TRAF2 (has functional association with) FANCD2","0.953","false","has functional association with","TRAF2 (has functional association with) FANCD2"
"11.323","has functional association with","KRT6B (has functional association with) KRT6C","0.988","false","has functional association with","KRT6B (has functional association with) KRT6C"
"11.788","has functional association with","SPTAN1 (has functional association with) SLC25A5","0.992","false","has functional association with","SPTAN1 (has functional association with) SLC25A5"
"15.931","has functional association with","SPTAN1 (has functional association with) HSP90AB1","1.0","false","has functional association with","SPTAN1 (has functional association with) HSP90AB1"
"10.418","has functional association with","TP53 (has functional association with) ERN1","0.971","false","has functional association with","TP53 (has functional association with) ERN1"
"9.968","has functional association with","HLA-A (has functional association with) HLA-DQA2","0.955","false","has functional association with","HLA-A (has functional association with) HLA-DQA2"
"10.137","has functional association with","LARS1 (has functional association with) U2AF2","0.962","false","has functional association with","LARS1 (has functional association with) U2AF2"
"10.648","has functional association with","NIPBL (has functional association with) PRPF8","0.977","false","has functional association with","NIPBL (has functional association with) PRPF8"
"9.919","has functional association with","PRIM2 (has functional association with) TOP2B","0.953","false","has functional association with","PRIM2 (has functional association with) TOP2B"
"10.214","has functional association with","TP53 (has functional association with) EGR1","0.965","false","has functional association with","TP53 (has functional association with) EGR1"
"12.568","has functional association with","RPL10 (has functional association with) WDR3","0.997","false","has functional association with","RPL10 (has functional association with) WDR3"
"10.545","has functional association with","AP2M1 (has functional association with) DYNC1H1","0.974","false","has functional association with","AP2M1 (has functional association with) DYNC1H1"
"11.256","has functional association with","TRAF2 (has functional association with) ERN1","0.987","false","has functional association with","TRAF2 (has functional association with) ERN1"
"13.241","has functional association with","UBC (has functional association with) SLC25A5","0.998","false","has functional association with","UBC (has functional association with) SLC25A5"
"11.009","has functional association with","GEMIN2 (has functional association with) USP9X","0.984","false","has functional association with","GEMIN2 (has functional association with) USP9X"
"10.799","has functional association with","TRAF2 (has functional association with) HSP90AB1","0.98","false","has functional association with","TRAF2 (has functional association with) HSP90AB1"
"15.218","has functional association with","LARS1 (has functional association with) RPTOR","1.0","false","has functional association with","LARS1 (has functional association with) RPTOR"
"12.04","has functional association with","HUWE1 (has functional association with) RPTOR","0.994","false","has functional association with","HUWE1 (has functional association with) RPTOR"
"10.812","has functional association with","SMC4 (has functional association with) CKAP5","0.98","false","has functional association with","SMC4 (has functional association with) CKAP5"
"12.686","has functional association with","AP2M1 (has functional association with) HADHB","0.997","false","has functional association with","AP2M1 (has functional association with) HADHB"
"11.161","has functional association with","RPL10 (has functional association with) GCN1","0.986","false","has functional association with","RPL10 (has functional association with) GCN1"
"10.607","has functional association with","SMC4 (has functional association with) TOP2B","0.976","false","has functional association with","SMC4 (has functional association with) TOP2B"
"10.062","has functional association with","TRAF2 (has functional association with) THAP7","0.959","false","has functional association with","TRAF2 (has functional association with) THAP7"
"11.986","has functional association with","UBC (has functional association with) HSP90AB1","0.994","false","has functional association with","UBC (has functional association with) HSP90AB1"
"10.745","has functional association with","GCN1 (has functional association with) PABPC3","0.979","false","has functional association with","GCN1 (has functional association with) PABPC3"
"15.508","has functional association with","RPL10 (has functional association with) PABPC3","1.0","false","has functional association with","RPL10 (has functional association with) PABPC3"
"11.901","has functional association with","SMC4 (has functional association with) DIS3","0.993","false","has functional association with","SMC4 (has functional association with) DIS3"
"9.896","has functional association with","TP53 (has functional association with) ZNFX1","0.952","false","has functional association with","TP53 (has functional association with) ZNFX1"
"15.333","has functional association with","SPTB (has functional association with) SPTA1","1.0","false","has functional association with","SPTB (has functional association with) SPTA1"
"10.741","has functional association with","ACACB (has functional association with) HUWE1","0.979","false","has functional association with","ACACB (has functional association with) HUWE1"
"10.775","has functional association with","RPL10 (has functional association with) NACA2","0.98","false","has functional association with","RPL10 (has functional association with) NACA2"
"19.507","has functional association with","SF3A2 (has functional association with) SF3A3","1.0","false","has functional association with","SF3A2 (has functional association with) SF3A3"
"11.17","has functional association with","SMC4 (has functional association with) PRPF8","0.986","false","has functional association with","SMC4 (has functional association with) PRPF8"
"11.371","has functional association with","HUWE1 (has functional association with) HSP90AB1","0.989","false","has functional association with","HUWE1 (has functional association with) HSP90AB1"
"11.016","has functional association with","TP53 (has functional association with) TAF1A","0.984","false","has functional association with","TP53 (has functional association with) TAF1A"
"15.901","has functional association with","CFH (has functional association with) C3","1.0","false","has functional association with","CFH (has functional association with) C3"
"9.94","has functional association with","LARS1 (has functional association with) SLC25A5","0.954","false","has functional association with","LARS1 (has functional association with) SLC25A5"
"11.061","has functional association with","ACACB (has functional association with) VPS13A","0.985","false","has functional association with","ACACB (has functional association with) VPS13A"
"12.001","has functional association with","AP2M1 (has functional association with) RAB7A","0.994","false","has functional association with","AP2M1 (has functional association with) RAB7A"
"9.944","has functional association with","AP2M1 (has functional association with) ATP6V1A","0.954","false","has functional association with","AP2M1 (has functional association with) ATP6V1A"
"10.559","has functional association with","ACACB (has functional association with) HSP90AB1","0.975","false","has functional association with","ACACB (has functional association with) HSP90AB1"
"18.246","has functional association with","LARS1 (has functional association with) HSP90AB1","1.0","false","has functional association with","LARS1 (has functional association with) HSP90AB1"
"10.013","has functional association with","CCNT1 (has functional association with) TBP","0.957","false","has functional association with","CCNT1 (has functional association with) TBP"
"11.878","has functional association with","HUWE1 (has functional association with) GCN1","0.993","false","has functional association with","HUWE1 (has functional association with) GCN1"
"10.68","has functional association with","SMC4 (has functional association with) SF3A3","0.978","false","has functional association with","SMC4 (has functional association with) SF3A3"
"11.626","has functional association with","CCNT1 (has functional association with) TAF1","0.991","false","has functional association with","CCNT1 (has functional association with) TAF1"
"10.326","has functional association with","SMC4 (has functional association with) WDR3","0.968","false","has functional association with","SMC4 (has functional association with) WDR3"
"11.21","has functional association with","CCNT1 (has functional association with) U2AF2","0.987","false","has functional association with","CCNT1 (has functional association with) U2AF2"
"13.241","has functional association with","CCNT1 (has functional association with) BRD4","0.998","false","has functional association with","CCNT1 (has functional association with) BRD4"
"11.837","has functional association with","CCNT1 (has functional association with) MLLT1","0.993","false","has functional association with","CCNT1 (has functional association with) MLLT1"
"10.432","has functional association with","PABPC1 (has functional association with) RAB7A","0.971","false","has functional association with","PABPC1 (has functional association with) RAB7A"
"11.995","has functional association with","CCNT1 (has functional association with) DCAF16","0.994","false","has functional association with","CCNT1 (has functional association with) DCAF16"
"11.769","has functional association with","LARS1 (has functional association with) BMS1","0.992","false","has functional association with","LARS1 (has functional association with) BMS1"
"10.051","has functional association with","PRIM2 (has functional association with) WDR3","0.959","false","has functional association with","PRIM2 (has functional association with) WDR3"
"13.154","has functional association with","MYO5B (has functional association with) MYH14","0.998","false","has functional association with","MYO5B (has functional association with) MYH14"
"13.82","has functional association with","SEC61A2 (has functional association with) STT3B","0.999","false","has functional association with","SEC61A2 (has functional association with) STT3B"
"13.265","has functional association with","MYO5B (has functional association with) MYH11","0.998","false","has functional association with","MYO5B (has functional association with) MYH11"
"15.94","has functional association with","LARS1 (has functional association with) WDR3","1.0","false","has functional association with","LARS1 (has functional association with) WDR3"
"12.366","has functional association with","MYO5B (has functional association with) DYNC1H1","0.996","false","has functional association with","MYO5B (has functional association with) DYNC1H1"
"12.066","has functional association with","SF3A3 (has functional association with) BMS1","0.994","false","has functional association with","SF3A3 (has functional association with) BMS1"
"11.136","has functional association with","ILK (has functional association with) VCL","0.986","false","has functional association with","ILK (has functional association with) VCL"
"10.104","has functional association with","HADHB (has functional association with) GPC1","0.961","false","has functional association with","HADHB (has functional association with) GPC1"
"10.938","has functional association with","MYO5B (has functional association with) EZR","0.983","false","has functional association with","MYO5B (has functional association with) EZR"
"9.941","has functional association with","MYO5B (has functional association with) RPTOR","0.954","false","has functional association with","MYO5B (has functional association with) RPTOR"
"12.219","has functional association with","SF3A3 (has functional association with) WDR3","0.995","false","has functional association with","SF3A3 (has functional association with) WDR3"
"16.399","has functional association with","OBSCN (has functional association with) TTN","1.0","false","has functional association with","OBSCN (has functional association with) TTN"
"10.015","has functional association with","MYO5B (has functional association with) MYH6","0.957","false","has functional association with","MYO5B (has functional association with) MYH6"
"11.529","has functional association with","AP2M1 (has functional association with) NIPA2","0.99","false","has functional association with","AP2M1 (has functional association with) NIPA2"
"10.566","has functional association with","LAMA3 (has functional association with) LAMC2","0.975","false","has functional association with","LAMA3 (has functional association with) LAMC2"
"14.888","has functional association with","HADHB (has functional association with) SUOX","1.0","false","has functional association with","HADHB (has functional association with) SUOX"
"12.245","has functional association with","HADHB (has functional association with) UBC","0.995","false","has functional association with","HADHB (has functional association with) UBC"
"9.87","has functional association with","PRPF8 (has functional association with) U2AF2","0.951","false","has functional association with","PRPF8 (has functional association with) U2AF2"
"11.261","has functional association with","PRPF8 (has functional association with) SF3A2","0.987","false","has functional association with","PRPF8 (has functional association with) SF3A2"
"10.295","has functional association with","HADHB (has functional association with) SLC25A5","0.967","false","has functional association with","HADHB (has functional association with) SLC25A5"
"10.286","has functional association with","HNRNPL (has functional association with) PRPF8","0.967","false","has functional association with","HNRNPL (has functional association with) PRPF8"
"19.014","has functional association with","TRAF3 (has functional association with) TRAF2","1.0","false","has functional association with","TRAF3 (has functional association with) TRAF2"
"11.008","has functional association with","IRS1 (has functional association with) KHDRBS1","0.984","false","has functional association with","IRS1 (has functional association with) KHDRBS1"
"10.115","has functional association with","PRPF8 (has functional association with) RPTOR","0.961","false","has functional association with","PRPF8 (has functional association with) RPTOR"
"9.872","has functional association with","CNN2 (has functional association with) ILK","0.951","false","has functional association with","CNN2 (has functional association with) ILK"
"11.822","has functional association with","HERC2 (has functional association with) ITPR2","0.993","false","has functional association with","HERC2 (has functional association with) ITPR2"
"10.696","has functional association with","HERC2 (has functional association with) TAF1","0.978","false","has functional association with","HERC2 (has functional association with) TAF1"
"12.743","has functional association with","AP2M1 (has functional association with) HSP90AB1","0.997","false","has functional association with","AP2M1 (has functional association with) HSP90AB1"
"11.891","has functional association with","ILK (has functional association with) EZR","0.993","false","has functional association with","ILK (has functional association with) EZR"
"21.731","has functional association with","TRRAP (has functional association with) EPC1","1.0","false","has functional association with","TRRAP (has functional association with) EPC1"
"14.868","has functional association with","AP2M1 (has functional association with) CGB3","1.0","false","has functional association with","AP2M1 (has functional association with) CGB3"
"9.885","has functional association with","HERC2 (has functional association with) HERC1","0.952","false","has functional association with","HERC2 (has functional association with) HERC1"
"10.457","has functional association with","TRRAP (has functional association with) NIPBL","0.972","false","has functional association with","TRRAP (has functional association with) NIPBL"
"11.638","has functional association with","DYSF (has functional association with) FLNC","0.991","false","has functional association with","DYSF (has functional association with) FLNC"
"11.088","has functional association with","RTEL1 (has functional association with) UBR4","0.985","false","has functional association with","RTEL1 (has functional association with) UBR4"
"12.3","has functional association with","RTEL1 (has functional association with) TRRAP","0.995","false","has functional association with","RTEL1 (has functional association with) TRRAP"
"9.984","has functional association with","PABPC1 (has functional association with) UBC","0.956","false","has functional association with","PABPC1 (has functional association with) UBC"
"10.095","has functional association with","AP2M1 (has functional association with) ITPR3","0.96","false","has functional association with","AP2M1 (has functional association with) ITPR3"
"9.87","has functional association with","TRRAP (has functional association with) ZNF354A","0.951","false","has functional association with","TRRAP (has functional association with) ZNF354A"
"10.282","has functional association with","PRPF8 (has functional association with) HSP90AB1","0.967","false","has functional association with","PRPF8 (has functional association with) HSP90AB1"
"11.614","has functional association with","PABPC1 (has functional association with) DIS3","0.991","false","has functional association with","PABPC1 (has functional association with) DIS3"
"11.454","has functional association with","ILK (has functional association with) HSP90AB1","0.99","false","has functional association with","ILK (has functional association with) HSP90AB1"
"10.437","has functional association with","NRAS (has functional association with) RAB21","0.972","false","has functional association with","NRAS (has functional association with) RAB21"
"18.216","has functional association with","SLC25A5 (has functional association with) HSP90AB1","1.0","false","has functional association with","SLC25A5 (has functional association with) HSP90AB1"
"12.283","has functional association with","EP400 (has functional association with) BPTF","0.995","false","has functional association with","EP400 (has functional association with) BPTF"
"11.522","has functional association with","SETD1A (has functional association with) RPTOR","0.99","false","has functional association with","SETD1A (has functional association with) RPTOR"
"24.439","has functional association with","PRPF8 (has functional association with) SF3A3","1.0","false","has functional association with","PRPF8 (has functional association with) SF3A3"
"9.909","has functional association with","SLC25A5 (has functional association with) TUBA3C","0.953","false","has functional association with","SLC25A5 (has functional association with) TUBA3C"
"10.504","has functional association with","TRRAP (has functional association with) CAD","0.973","false","has functional association with","TRRAP (has functional association with) CAD"
"17.204","has functional association with","EP400 (has functional association with) TRRAP","1.0","false","has functional association with","EP400 (has functional association with) TRRAP"
"12.203","has functional association with","VPS13A (has functional association with) RPTOR","0.995","false","has functional association with","VPS13A (has functional association with) RPTOR"
"11.544","has functional association with","DOCK2 (has functional association with) PAK2","0.99","false","has functional association with","DOCK2 (has functional association with) PAK2"
"11.445","has functional association with","PRPF8 (has functional association with) BMS1","0.989","false","has functional association with","PRPF8 (has functional association with) BMS1"
"11.372","has functional association with","EP400 (has functional association with) MAX","0.989","false","has functional association with","EP400 (has functional association with) MAX"
"21.254","has functional association with","EP400 (has functional association with) EPC1","1.0","false","has functional association with","EP400 (has functional association with) EPC1"
"9.979","has functional association with","TRRAP (has functional association with) DIS3","0.956","false","has functional association with","TRRAP (has functional association with) DIS3"
"12.046","has functional association with","TRRAP (has functional association with) TAF1","0.994","false","has functional association with","TRRAP (has functional association with) TAF1"
"15.664","has functional association with","C1QTNF9B (has functional association with) C1QTNF9","1.0","false","has functional association with","C1QTNF9B (has functional association with) C1QTNF9"
"10.225","has functional association with","PRPF8 (has functional association with) WDR3","0.965","false","has functional association with","PRPF8 (has functional association with) WDR3"
"10.292","has functional association with","PABPC1 (has functional association with) PAK2","0.967","false","has functional association with","PABPC1 (has functional association with) PAK2"
"13.56","has functional association with","TRRAP (has functional association with) PRPF8","0.999","false","has functional association with","TRRAP (has functional association with) PRPF8"
"10.58","has functional association with","PRPF8 (has functional association with) GCN1","0.975","false","has functional association with","PRPF8 (has functional association with) GCN1"
"10.194","has functional association with","PAK2 (has functional association with) HSP90AB1","0.964","false","has functional association with","PAK2 (has functional association with) HSP90AB1"
"9.926","has functional association with","EP400 (has functional association with) TAF1","0.953","false","has functional association with","EP400 (has functional association with) TAF1"
"14.646","has functional association with","PABPC1 (has functional association with) PRPF8","1.0","false","has functional association with","PABPC1 (has functional association with) PRPF8"
"12.412","has functional association with","PABPC1 (has functional association with) TNRC6A","0.996","false","has functional association with","PABPC1 (has functional association with) TNRC6A"
"10.413","has functional association with","PAK2 (has functional association with) BMS1","0.971","false","has functional association with","PAK2 (has functional association with) BMS1"
