"citation","Confidence Value","interaction","Interaction Detection Methods","name","Presence In Other Species","Publication 1st Author","selected","shared interaction","shared name","Source Databases"
"pubmed:16214886","0.65","interacts-with","MI:0004(affinity chromatography technology)|MI:0428(imaging technique)","UBR4 (interacts-with) RB1",,"Nakatani Y (2005)","false","interacts-with","UBR4 (interacts-with) RB1","biogrid"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) BRAF",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) BRAF","biogrid"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) BLMH",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) BLMH","biogrid"
"pubmed:31980649","0.63","interacts-with","MI:0004(affinity chromatography technology)","VAV1 (interacts-with) VAV1",,"Kennedy SA (2020)","false","interacts-with","VAV1 (interacts-with) VAV1",
"pubmed:27684187","0.63","interacts-with","MI:0004(affinity chromatography technology)","KRAS (interacts-with) HSP90AB1",,"Rosenbluh J (2016)","false","interacts-with","KRAS (interacts-with) HSP90AB1","biogrid"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) PABPC1",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) PABPC1","biogrid"
"pubmed:17979178|pubmed:22939624|pubmed:27684187|pubmed:31980649","0.87","interacts-with","MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","BRAF (interacts-with) HSP90AB1",,"Gloeckner CJ (2007)|Taipale M (2012)|Rosenbluh J (2016)|Kennedy SA (2020)","false","interacts-with","BRAF (interacts-with) HSP90AB1","MI:0469(intact)|biogrid"
"pubmed:31871319","0.63","interacts-with","MI:0004(affinity chromatography technology)","RHOQ (interacts-with) RPTOR",,"Bagci H (2019)","false","interacts-with","RHOQ (interacts-with) RPTOR",
"pubmed:19858347|pubmed:18322206","0.73","interacts-with","MI:0004(affinity chromatography technology)","HLA-C (interacts-with) KIR2DL1",,"Graef T (2009)|Moesta AK (2008)","false","interacts-with","HLA-C (interacts-with) KIR2DL1","MI:0469(intact)"
"pubmed:28514442|pubmed:33961781","0.82","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","HADHB (interacts-with) GPC1",,"Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","HADHB (interacts-with) GPC1","biogrid"
"pubmed:28878014","0.63","interacts-with","MI:0004(affinity chromatography technology)","ZGPAT (interacts-with) SNRNP200",,"Chen Z (2017)","false","interacts-with","ZGPAT (interacts-with) SNRNP200","biogrid"
"pubmed:10404591|pubmed:16189514|pubmed:21163940|pubmed:25416956|pubmed:32296183","0.76","interacts-with","MI:0492(in vitro)|MI:0018(two hybrid)","BLMH (interacts-with) BLMH",,"O'Farrell PA (1999)|Rual JF (2005)|Soler-L??pez M (2010)|Rolland T (2014)|Luck K (2020)","false","interacts-with","BLMH (interacts-with) BLMH","MI:0468(hprd)|biogrid|MI:0469(intact)|MI:0471(mint)|i2d|rual05"
"pubmed:28330616","0.75","interacts-with","MI:0004(affinity chromatography technology)|MI:0096(pull down)|bioid","TPTE (interacts-with) HADHB",,"Yadav L (2017)","false","interacts-with","TPTE (interacts-with) HADHB","biogrid|MI:0469(intact)"
"pubmed:10411883|pubmed:8995282","0.65","interacts-with","MI:0492(in vitro)|MI:0415(enzymatic study)","IRS1 (interacts-with) IRS1",,"Dhe-Paganon S (1999)|Ahmad F (1997)","false","interacts-with","IRS1 (interacts-with) IRS1","MI:0468(hprd)|i2d"
"pubmed:31871319","0.63","interacts-with","MI:0004(affinity chromatography technology)","RHOQ (interacts-with) CASKIN2",,"Bagci H (2019)","false","interacts-with","RHOQ (interacts-with) CASKIN2",
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) SLC7A1",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) SLC7A1","biogrid"
"pubmed:10499800|pubmed:20096703|pubmed:17785442","0.93","interacts-with","MI:0492(in vitro)|MI:0096(pull down)|MI:0114(x-ray crystallography)","PABPC1 (interacts-with) PABPC1","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Deo RC (1999)|Kozlov G (2010)|Ezzeddine N (2007)","false","interacts-with","PABPC1 (interacts-with) PABPC1","MI:0468(hprd)|i2d|biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","SIRPA (interacts-with) SIRPB1",,"Huttlin EL (2021)","false","interacts-with","SIRPA (interacts-with) SIRPB1",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRKRA (interacts-with) ZNF845",,"Huttlin EL (2021)","false","interacts-with","PRKRA (interacts-with) ZNF845",
"pubmed:30194290|pubmed:34079125|pubmed:30442766","0.74","interacts-with","bioid","KRAS (interacts-with) NOTCH1",,"Adhikari H (2018)|Go CD (2021)|Bigenzahn JW (2018)","false","interacts-with","KRAS (interacts-with) NOTCH1",
"pubmed:22424946|pubmed:24403073","0.73","interacts-with","MI:0004(affinity chromatography technology)","RPTOR (interacts-with) RPTOR",,"Han JM (2012)|Coffman K (2014)","false","interacts-with","RPTOR (interacts-with) RPTOR","biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","GPR152 (interacts-with) SLC7A1",,"Luck K (2020)","false","interacts-with","GPR152 (interacts-with) SLC7A1",
"pubmed:10867021|pubmed:16713569","0.86","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)","PTK2B (interacts-with) VAV1",,"Katagiri T (2000)|Lim J (2006)","false","interacts-with","PTK2B (interacts-with) VAV1","MI:0468(hprd)|biogrid|i2d|lim06"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","RGPD1 (interacts-with) ARID2",,"Huttlin EL (2021)","false","interacts-with","RGPD1 (interacts-with) ARID2",
"pubmed:21964340","0.63","interacts-with","MI:0004(affinity chromatography technology)","MLLT1 (interacts-with) BRD4",,"Dawson MA (2011)","false","interacts-with","MLLT1 (interacts-with) BRD4","biogrid"
"pubmed:31871319","0.63","interacts-with","MI:0004(affinity chromatography technology)","RHOQ (interacts-with) TRPM7",,"Bagci H (2019)","false","interacts-with","RHOQ (interacts-with) TRPM7",
"pubmed:32807901","0.63","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) DNAH10",,"Liu J (2020)","false","interacts-with","TP53 (interacts-with) DNAH10",
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) ARHGAP31",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) ARHGAP31","biogrid"
"pubmed:28514442|pubmed:33961781","0.73","interacts-with","MI:0004(affinity chromatography technology)","BCL7A (interacts-with) POTEJ",,"Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","BCL7A (interacts-with) POTEJ","biogrid"
"pubmed:30194290","0.63","interacts-with","bioid","NRAS (interacts-with) GRK6",,"Adhikari H (2018)","false","interacts-with","NRAS (interacts-with) GRK6",
"pubmed:12393632","0.73","interacts-with","MI:0492(in vitro)|Affinity Capture-Western|MI:0004(affinity chromatography technology)","DOCK2 (interacts-with) VAV1",,"Nishihara H (2002)","false","interacts-with","DOCK2 (interacts-with) VAV1","MI:0468(hprd)|biogrid|i2d"
"pubmed:32707033","0.56","interacts-with","MI:0096(pull down)","MAP4K1 (interacts-with) BCLAF1",,"Buljan M (2020)","false","interacts-with","MAP4K1 (interacts-with) BCLAF1",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP1-5 (interacts-with) LCE2B",,"Luck K (2020)","false","interacts-with","KRTAP1-5 (interacts-with) LCE2B",
"pubmed:34079125","0.63","interacts-with","bioid","KRT8 (interacts-with) APC",,"Go CD (2021)","false","interacts-with","KRT8 (interacts-with) APC",
"pubmed:24983503|pubmed:29128334","0.82","interacts-with","MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)","SLC25A5 (interacts-with) SDHA",,"Ogura M (2014)|Malty RH (2017)","false","interacts-with","SLC25A5 (interacts-with) SDHA","MI:0469(intact)|biogrid"
"pubmed:24189400","0.63","interacts-with","MI:0004(affinity chromatography technology)","AP2M1 (interacts-with) SLC25A5",,"Li J (2013)","false","interacts-with","AP2M1 (interacts-with) SLC25A5","biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","IGLL5 (interacts-with) SEMA4G",,"Huttlin EL (2021)","false","interacts-with","IGLL5 (interacts-with) SEMA4G",
"pubmed:20936779","0.63","interacts-with","MI:0018(two hybrid)","NEB (interacts-with) APC",,"Bandyopadhyay S (2010)","false","interacts-with","NEB (interacts-with) APC","MI:0469(intact)|biogrid"
"pubmed:31239290","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) FLNA",,"Erber L (2019)","false","interacts-with","BRD4 (interacts-with) FLNA",
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) RNF213",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) RNF213","biogrid"
