"interaction","LLS","name","selected","shared interaction","shared name"
"has functional association with","1.84714511541049","KRTAP5-5 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP5-5 (has functional association with) KRTAP4-6"
"has functional association with","1.69587080920456","DNAH7 (has functional association with) UBC","false","has functional association with","DNAH7 (has functional association with) UBC"
"has functional association with","2.30317584509314","GRK6 (has functional association with) HSP90AB1","false","has functional association with","GRK6 (has functional association with) HSP90AB1"
"has functional association with","1.96441943230797","PLEC (has functional association with) SPTAN1","false","has functional association with","PLEC (has functional association with) SPTAN1"
"has functional association with","4.73187466582627","CACNA1A (has functional association with) CACNA1B","false","has functional association with","CACNA1A (has functional association with) CACNA1B"
"has functional association with","1.58006201609801","FLNA (has functional association with) TTN","false","has functional association with","FLNA (has functional association with) TTN"
"has functional association with","1.52199818487396","UBC (has functional association with) USP34","false","has functional association with","UBC (has functional association with) USP34"
"has functional association with","1.68590602543379","NOTCH1 (has functional association with) NUMBL","false","has functional association with","NOTCH1 (has functional association with) NUMBL"
"has functional association with","1.70581204120855","PRRC2C (has functional association with) ALG13","false","has functional association with","PRRC2C (has functional association with) ALG13"
"has functional association with","1.58568730348199","SMC4 (has functional association with) RB1","false","has functional association with","SMC4 (has functional association with) RB1"
"has functional association with","1.49215945999532","HLA-DQA1 (has functional association with) LCE1F","false","has functional association with","HLA-DQA1 (has functional association with) LCE1F"
"has functional association with","1.84714511541049","KRTAP5-2 (has functional association with) KRTAP4-6","false","has functional association with","KRTAP5-2 (has functional association with) KRTAP4-6"
"has functional association with","1.64214539020198","GSN (has functional association with) POTEF","false","has functional association with","GSN (has functional association with) POTEF"
"has functional association with","1.59107474789667","AP2M1 (has functional association with) HLA-DQA1","false","has functional association with","AP2M1 (has functional association with) HLA-DQA1"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP9-9","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP9-9"
"has functional association with","1.84714511541049","KRTAP9-6 (has functional association with) KRTAP5-5","false","has functional association with","KRTAP9-6 (has functional association with) KRTAP5-5"
"has functional association with","1.69039345004973","HLA-DQA1 (has functional association with) HLA-DQB2","false","has functional association with","HLA-DQA1 (has functional association with) HLA-DQB2"
"has functional association with","2.43608597463396","ALDH3B1 (has functional association with) KRTAP10-8","false","has functional association with","ALDH3B1 (has functional association with) KRTAP10-8"
"has functional association with","1.7346685424939","IGLL5 (has functional association with) CSPG4","false","has functional association with","IGLL5 (has functional association with) CSPG4"
"has functional association with","2.17452750163775","RB1 (has functional association with) TAL1","false","has functional association with","RB1 (has functional association with) TAL1"
"has functional association with","2.41648194312365","KRTAP1-5 (has functional association with) KRTAP4-5","false","has functional association with","KRTAP1-5 (has functional association with) KRTAP4-5"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP5-4","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP5-4"
"has functional association with","2.43607996933381","TUBB8 (has functional association with) KRAS","false","has functional association with","TUBB8 (has functional association with) KRAS"
"has functional association with","2.2515846859489","KRTAP4-6 (has functional association with) KRTAP4-5","false","has functional association with","KRTAP4-6 (has functional association with) KRTAP4-5"
"has functional association with","1.56486170826161","CUL9 (has functional association with) CAD","false","has functional association with","CUL9 (has functional association with) CAD"
"has functional association with","2.44815104706735","CHD8 (has functional association with) KMT2D","false","has functional association with","CHD8 (has functional association with) KMT2D"
"has functional association with","2.05703670520704","NOTCH2NLA (has functional association with) HEG1","false","has functional association with","NOTCH2NLA (has functional association with) HEG1"
"has functional association with","1.5884709909734","FANCD2 (has functional association with) EPPK1","false","has functional association with","FANCD2 (has functional association with) EPPK1"
"has functional association with","2.20445996931974","CUL9 (has functional association with) PLXNB3","false","has functional association with","CUL9 (has functional association with) PLXNB3"
"has functional association with","1.65022238260889","SPTAN1 (has functional association with) SVIL","false","has functional association with","SPTAN1 (has functional association with) SVIL"
"has functional association with","2.3968469324932","OAS3 (has functional association with) SIGLEC1","false","has functional association with","OAS3 (has functional association with) SIGLEC1"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP5-7","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP5-7"
"has functional association with","1.68741168786662","STX17 (has functional association with) MYH14","false","has functional association with","STX17 (has functional association with) MYH14"
"has functional association with","1.84714511541049","KRTAP4-11 (has functional association with) KRTAP4-5","false","has functional association with","KRTAP4-11 (has functional association with) KRTAP4-5"
"has functional association with","3.76124180863861","LILRB2 (has functional association with) HLA-A","false","has functional association with","LILRB2 (has functional association with) HLA-A"
"has functional association with","1.62061361561789","FLNA (has functional association with) MYO5A","false","has functional association with","FLNA (has functional association with) MYO5A"
"has functional association with","1.71444950260213","DOCK2 (has functional association with) PAK2","false","has functional association with","DOCK2 (has functional association with) PAK2"
"has functional association with","1.75934682944239","PABPC1 (has functional association with) HLA-A","false","has functional association with","PABPC1 (has functional association with) HLA-A"
"has functional association with","2.63321983591955","ABCA3 (has functional association with) ALDH3B1","false","has functional association with","ABCA3 (has functional association with) ALDH3B1"
"has functional association with","2.77053171340287","FLNA (has functional association with) MYH14","false","has functional association with","FLNA (has functional association with) MYH14"
"has functional association with","2.44812899298659","MLLT1 (has functional association with) NELFE","false","has functional association with","MLLT1 (has functional association with) NELFE"
"has functional association with","2.7704474546063","PXK (has functional association with) WIPF3","false","has functional association with","PXK (has functional association with) WIPF3"
"has functional association with","4.30242919420464","LCE2B (has functional association with) LCE1E","false","has functional association with","LCE2B (has functional association with) LCE1E"
"has functional association with","1.57110826198001","HLA-DRB5 (has functional association with) HSP90AB1","false","has functional association with","HLA-DRB5 (has functional association with) HSP90AB1"
"has functional association with","1.69328025926013","HLA-DQA1 (has functional association with) PLXNA3","false","has functional association with","HLA-DQA1 (has functional association with) PLXNA3"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP10-2","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP10-2"
"has functional association with","2.28581577224868","PAK2 (has functional association with) MYLK3","false","has functional association with","PAK2 (has functional association with) MYLK3"
"has functional association with","1.84714511541049","KRTAP10-2 (has functional association with) KRTAP1-5","false","has functional association with","KRTAP10-2 (has functional association with) KRTAP1-5"
"has functional association with","5.12611800461835","TUBA3D (has functional association with) TUBA3C","false","has functional association with","TUBA3D (has functional association with) TUBA3C"
"has functional association with","1.84714511541049","KRTAP10-2 (has functional association with) KRTAP4-11","false","has functional association with","KRTAP10-2 (has functional association with) KRTAP4-11"
"has functional association with","2.04466974154981","RGPD1 (has functional association with) PRAMEF1","false","has functional association with","RGPD1 (has functional association with) PRAMEF1"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP5-5","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP5-5"
"has functional association with","1.84714511541049","KRTAP10-7 (has functional association with) KRTAP5-1","false","has functional association with","KRTAP10-7 (has functional association with) KRTAP5-1"
"has functional association with","2.46193740545184","VPS13A (has functional association with) PPIAL4G","false","has functional association with","VPS13A (has functional association with) PPIAL4G"
"has functional association with","1.64701156424653","AP2M1 (has functional association with) HLA-DQB2","false","has functional association with","AP2M1 (has functional association with) HLA-DQB2"
"has functional association with","1.91332936701443","ASB12 (has functional association with) KRT8","false","has functional association with","ASB12 (has functional association with) KRT8"
"has functional association with","1.65021376140711","KLC3 (has functional association with) FGFR3","false","has functional association with","KLC3 (has functional association with) FGFR3"
"has functional association with","1.84714511541049","KRTAP9-6 (has functional association with) KRTAP5-7","false","has functional association with","KRTAP9-6 (has functional association with) KRTAP5-7"
"has functional association with","1.75101070317629","MED12L (has functional association with) GPRIN3","false","has functional association with","MED12L (has functional association with) GPRIN3"
"has functional association with","1.54784690164865","U2AF2 (has functional association with) NUP153","false","has functional association with","U2AF2 (has functional association with) NUP153"
