citation,Confidence Value,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Experimental System,Experimental System Type,FBS_max,Integrated score,interaction,Interaction Detection Methods,LLS,Modification,name,PFC,Phenotypes,Presence In Other Species,Publication 1st Author,Qualifications,Score,selected,shared interaction,shared name,Source Databases,Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,CRISP2 (interacts-with) PLXNA3,,,,Huttlin EL (2021),"BioPlex HCT HCT116 cells CompPASS score = 0.931028494, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.931028494,false,interacts-with,CRISP2 (interacts-with) PLXNA3,,High Throughput
pubmed:28514442,0.72,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,CRISP2 (interacts-with) CTSF,,,,Huttlin EL (2017),"BioPlex 2.0 HEK 293T cells CompPASS score = 0.99320603, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",0.99320603,false,interacts-with,CRISP2 (interacts-with) CTSF,biogrid,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,CRISP2 (interacts-with) CELSR1,,,,Huttlin EL (2021),"BioPlex HCT HCT116 cells CompPASS score = 0.952947196, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.952947196,false,interacts-with,CRISP2 (interacts-with) CELSR1,,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,CRISP2 (interacts-with) PLXNA1,,,,Huttlin EL (2021),"BioPlex HCT HCT116 cells CompPASS score = 0.962833118, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.962833118,false,interacts-with,CRISP2 (interacts-with) PLXNA1,,High Throughput
pubmed:15194684,0.77,,,,,,,Reconstituted Complex,physical,,,interacts-with,Reconstituted Complex|MI:0047(far western blotting)|MI:0096(pull down),,,CDC42BPG (interacts-with) RHOQ,,,,Ng Y (2004),,,false,interacts-with,CDC42BPG (interacts-with) RHOQ,biogrid|MI:0469(intact)|i2d,Low Throughput
pubmed:29659741,0.56,,,,,,,Reconstituted Complex,physical,,,interacts-with,MI:0096(pull down),,,FMN2 (interacts-with) FMN2,,,,Lian G (2019),,,false,interacts-with,FMN2 (interacts-with) FMN2,,Low Throughput
pubmed:25416956|pubmed:21516116,0.73,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,RIMBP3 (interacts-with) DTX2,,,,Rolland T (2014)|Yu H (2011),,,false,interacts-with,RIMBP3 (interacts-with) DTX2,biogrid|MI:0469(intact),High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,C3 (interacts-with) KRTAP10-8,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,C3 (interacts-with) KRTAP10-8,,High Throughput
pubmed:24981860,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,PRSS3 (interacts-with) NELFE,,,,Marcon E (2014),Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11,19.43150693,false,interacts-with,PRSS3 (interacts-with) NELFE,,High Throughput
pubmed:28514442|pubmed:33961781,0.82,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,ARHGEF35 (interacts-with) ARHGEF5,,,,Huttlin EL (2017)|Huttlin EL (2021),"BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999999999972883|1.0,false,interacts-with,ARHGEF35 (interacts-with) ARHGEF5,biogrid,High Throughput
