"alias","Matching.Attribute","name","Organism Taxon Id","querynode","represents","selected","shared name","Type"
"ZZZ4","ZZEF1","ZZEF1","9606","true","ncbigene:23140","false","ZZEF1","SourceNode;gene;protein"
"ZNF896","ZXDA","ZXDA","9606","true","entrez gene:7789","false","ZXDA","SourceNode;gene;protein"
"MEX|ZZZ2","ZSWIM2","ZSWIM2","9606","true","entrez gene:151112","false","ZSWIM2","SourceNode;gene;protein"
,"ZSCAN5D","ZSCAN5D",,,,"false","ZSCAN5D","SourceNode"
"ZNF206","ZSCAN10","ZSCAN10","9606","true","ncbigene:84891","false","ZSCAN10","SourceNode;gene;protein"
,"ZNFX1","ZNFX1","9606","true","ncbigene:57169","false","ZNFX1","SourceNode;gene;protein"
,"ZNF865","ZNF865","9606","true","ncbigene:100507290","false","ZNF865","SourceNode;gene;protein"
,"ZNF860","ZNF860","9606","true","entrez gene:344787","false","ZNF860","SourceNode;gene;protein"
"ZNF850P","ZNF850","ZNF850","9606","true","ncbigene:342892","false","ZNF850","SourceNode;gene;protein"
"HPF4|HTF1","ZNF85","ZNF85","9606","true","ncbigene:7639","false","ZNF85","SourceNode;gene;protein"
,"ZNF845","ZNF845","9606","true","ZNF845","false","ZNF845","SourceNode;gene;protein"
,"ZNF841","ZNF841","9606","true","entrez gene:284371","false","ZNF841","SourceNode;gene;protein"
"HPF2","ZNF84","ZNF84","9606","true","ncbigene:7637","false","ZNF84","SourceNode;gene;protein"
,"ZNF837","ZNF837","9606","true","entrez gene:116412","false","ZNF837","SourceNode;gene;protein"
"BC37295_3","ZNF835","ZNF835","9606","true","ncbigene:90485","false","ZNF835","SourceNode;gene;protein"
"ZNF|ZNF440L","ZNF763","ZNF763","9606","true","ncbigene:284390","false","ZNF763","SourceNode;gene;protein"
,"ZNF729","ZNF729",,"true","ncbigene:100287226","false","ZNF729","SourceNode;gene"
,"ZNF721","ZNF721","9606","true","ncbigene:170960","false","ZNF721","SourceNode;gene;protein"
"X17|ZNF838","ZNF717","ZNF717","9606","true","ncbigene:100131827","false","ZNF717","SourceNode;gene;protein"
"EZFIT","ZNF71","ZNF71","9606","true","ncbigene:58491","false","ZNF71","SourceNode;gene;protein"
"KOX8|ZNF15|ZNF15L1","ZNF708","ZNF708","9606","true","entrez gene:7562","false","ZNF708","SourceNode;gene;protein"
,"ZNF678","ZNF678","9606","true","entrez gene:339500","false","ZNF678","SourceNode;protein"
,"ZNF676","ZNF676","9606","true","ncbigene:163223","false","ZNF676","SourceNode;gene;protein"
,"ZNF646","ZNF646","9606","true","ncbigene:9726","false","ZNF646","SourceNode;gene;protein"
,"ZNF626","ZNF626","9606","true","ZNF626","false","ZNF626","SourceNode;gene;protein"
,"ZNF605","ZNF605","9606","true","entrez gene:100289635","false","ZNF605","SourceNode;gene;protein"
,"ZNF595","ZNF595","9606","true","ncbigene:152687","false","ZNF595","SourceNode;gene;protein"
,"ZNF594","ZNF594","9606","true","ncbigene:84622","false","ZNF594","SourceNode;gene;protein"
"ncbigene:9640|CAMOS|SCAR5","ZNF592","ZNF592","9606","true","uniprot:Q92610","false","ZNF592","SourceNode;gene;protein"
"ZF6","ZNF587","ZNF587","9606","true","ncbigene:84914","false","ZNF587","SourceNode;gene;protein"
,"ZNF572","ZNF572","9606","true","entrez gene:137209","false","ZNF572","SourceNode;gene;protein"
,"ZNF560","ZNF560",,,,"false","ZNF560","SourceNode"
"NBLA00121","ZNF559","ZNF559","9606","true","ZNF559","false","ZNF559","SourceNode;gene;protein"
,"ZNF536","ZNF536","9606","true","ncbigene:9745","false","ZNF536","SourceNode;gene;protein"
,"ZNF529","ZNF529","9606","true","ZNF529","false","ZNF529","SourceNode;gene;protein"
,"ZNF527","ZNF527","9606","true","ZNF527","false","ZNF527","SourceNode;gene;protein"
,"ZNF525","ZNF525","9606","true","ncbigene:170958","false","ZNF525","SourceNode;gene;protein"
"HsT2362","ZNF519","ZNF519","9606","true","ncbigene:162655","false","ZNF519","SourceNode;gene;protein"
,"ZNF507","ZNF507","9606","true","ncbigene:22847","false","ZNF507","SourceNode;gene;protein"
,"ZNF506","ZNF506","9606","true","ZNF506","false","ZNF506","SourceNode;gene;protein"
,"ZNF493","ZNF493","9606","true","ncbigene:284443","false","ZNF493","SourceNode;gene;protein"
,"ZNF491","ZNF491","9606","true","ncbigene:126069","false","ZNF491","SourceNode;gene;protein"
"HZFP100|ZN473","ZNF473","ZNF473","9606","true","ncbigene:25888","false","ZNF473","SourceNode;gene;protein"
"BCS|BCS1","ZNF469","ZNF469","9606","true","entrez gene:84627","false","ZNF469","SourceNode;protein"
,"ZNF468","ZNF468","9606","true","ncbigene:90333","false","ZNF468","SourceNode;gene;protein"
,"ZNF429","ZNF429",,"true","ncbigene:353088","false","ZNF429","SourceNode;gene"
"APAK","ZNF420","ZNF420","9606","true","entrez gene:147923","false","ZNF420","SourceNode;gene;protein"
"ZNF419A","ZNF419","ZNF419","9606","true","ncbigene:79744","false","ZNF419","SourceNode;gene;protein"
"ZFEND","ZNF358","ZNF358","9606","true","ncbigene:140467","false","ZNF358","SourceNode;gene;protein"
"KID2","ZNF354B","ZNF354B","9606","true","ncbigene:117608","false","ZNF354B","SourceNode;gene;protein"
"EZNF|HEL104|HKL1|KID-1|KID1|TCF17","ZNF354A","ZNF354A","9606","true","entrez gene:6940","false","ZNF354A","SourceNode;gene;protein"
"HZF10","ZNF345","ZNF345","9606","true","ncbigene:25850","false","ZNF345","SourceNode;gene;protein"
,"ZNF329","ZNF329","9606","true","ncbigene:79673","false","ZNF329","SourceNode;gene;protein"
"ZFPL","ZNF320","ZNF320","9606","true","ncbigene:162967","false","ZNF320","SourceNode;gene;protein"
