"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","PPrel: activated by","<-","1.0",,"GNG13 (FI) OR2L8","false",,"GNG13 (FI) OR2L8"
"FI","expression regulates","->","1.0",,"USF2 (FI) ZNF595","false",,"USF2 (FI) ZNF595"
"FI","GErel: expression","->","1.0",,"STAT1 (FI) ZNF420","false",,"STAT1 (FI) ZNF420"
"FI","reaction","-","1.0",,"CALM3 (FI) SCN5A","false",,"CALM3 (FI) SCN5A"
"FI","complex","-","1.0",,"LAMA3 (FI) LAMC2","false",,"LAMA3 (FI) LAMC2"
"FI","complex; expression regulates; input","->","1.0",,"BRCA1 (FI) ESR1","false",,"BRCA1 (FI) ESR1"
"FI","PPrel: activation","->","1.0",,"GNG13 (FI) PRKCE","false",,"GNG13 (FI) PRKCE"
"FI","predicted","-","0.64",,"FOS (FI) TAF1","false",,"FOS (FI) TAF1"
"FI","predicted","-","0.97",,"PLXNA1 (FI) PLXNA3","false",,"PLXNA1 (FI) PLXNA3"
"FI","GErel: expression","->","1.0",,"STAT1 (FI) ZNF468","false",,"STAT1 (FI) ZNF468"
"FI","expression regulated by","<-","1.0",,"EGFR (FI) TP53","false",,"EGFR (FI) TP53"
"FI","predicted","-","0.64",,"APP (FI) ASH1L","false",,"APP (FI) ASH1L"
"FI","GErel: expression","->","1.0",,"STAT1 (FI) ZNF429","false",,"STAT1 (FI) ZNF429"
"FI","predicted","-","0.64",,"KRT18 (FI) PRKCE","false",,"KRT18 (FI) PRKCE"
"FI","inhibited by","|-","1.0",,"JUN (FI) NOTCH1","false",,"JUN (FI) NOTCH1"
"FI","predicted","-","0.64",,"CCNT1 (FI) EP300","false",,"CCNT1 (FI) EP300"
"FI","activate","->","1.0",,"MAPK1 (FI) RARG","false",,"MAPK1 (FI) RARG"
"FI","PPrel: activation, phosphorylation; complex","->","1.0",,"FYN (FI) PLXNA3","false",,"FYN (FI) PLXNA3"
"FI","activate","->","1.0",,"OTOG (FI) RIPOR2","false",,"OTOG (FI) RIPOR2"
"FI","inhibite","-|","1.0",,"CTBP2 (FI) CTNNB1","false",,"CTBP2 (FI) CTNNB1"
"FI","predicted","-","0.97",,"PLXNA1 (FI) PLXNB3","false",,"PLXNA1 (FI) PLXNB3"
"FI","PPrel: activated by; complex; input","<-","1.0",,"ITGA2 (FI) LAMC2","false",,"ITGA2 (FI) LAMC2"
"FI","GErel: expression","->","1.0",,"STAT1 (FI) ZNF419","false",,"STAT1 (FI) ZNF419"
"FI","expression regulates","->","1.0",,"NRF1 (FI) POU2F1","false",,"NRF1 (FI) POU2F1"
"FI","expression regulates","->","1.0",,"GATA2 (FI) MAPK1","false",,"GATA2 (FI) MAPK1"
"FI","PPrel: inhibition; activate; activated by; catalyze","<-","1.0",,"FYN (FI) RHOA","false",,"FYN (FI) RHOA"
"FI","GErel: expression by","<-","1.0",,"HLA-DRB5 (FI) STAT1","false",,"HLA-DRB5 (FI) STAT1"
"FI","complex; input","-","1.0",,"POLR2A (FI) SRRM2","false",,"POLR2A (FI) SRRM2"
"FI","catalyze; complex; input","->","1.0",,"HUWE1 (FI) UBE2A","false",,"HUWE1 (FI) UBE2A"
"FI","inhibit","-|","1.0",,"MAPK1 (FI) SMAD4","false",,"MAPK1 (FI) SMAD4"
"FI","expression regulates","->","1.0",,"BRCA1 (FI) CCNT1","false",,"BRCA1 (FI) CCNT1"
"FI","complex","-","1.0",,"GSN (FI) RIPOR2","false",,"GSN (FI) RIPOR2"
"FI","inhibit","-|","1.0",,"ARRB2 (FI) CTNNB1","false",,"ARRB2 (FI) CTNNB1"
"FI","complex; input","-","1.0",,"ACTB (FI) COL5A1","false",,"ACTB (FI) COL5A1"
"FI","PPrel: inhibited by, phosphorylated by; activate; activated by; inhibite","-","1.0",,"CTNNB1 (FI) EGFR","false",,"CTNNB1 (FI) EGFR"
"FI","GErel: expression by; expression regulated by","<-","1.0",,"EDN1 (FI) EP300","false",,"EDN1 (FI) EP300"
"FI","input","-","1.0",,"CTBP2 (FI) STX1A","false",,"CTBP2 (FI) STX1A"
"FI","complex; input","-","1.0",,"AP2M1 (FI) CCL4","false",,"AP2M1 (FI) CCL4"
"FI","catalyze","->","1.0",,"C1D (FI) RRP7A","false",,"C1D (FI) RRP7A"
"FI","reaction","-","1.0",,"PPP1R13B (FI) SP1","false",,"PPP1R13B (FI) SP1"
"FI","GErel: expression","->","1.0",,"ESR1 (FI) KRT38","false",,"ESR1 (FI) KRT38"
"FI","complex; input; reaction","-","1.0",,"EP300 (FI) FOXA1","false",,"EP300 (FI) FOXA1"
"FI","PPrel: activation, indirect effect","->","1.0",,"GNG13 (FI) RHOA","false",,"GNG13 (FI) RHOA"
"FI","predicted","-","1.0",,"CDC42BPG (FI) RHOA","false",,"CDC42BPG (FI) RHOA"
"FI","reaction","-","1.0",,"AR (FI) GSN","false",,"AR (FI) GSN"
"FI","complex; input","-","1.0",,"POLR2F (FI) SRRM2","false",,"POLR2F (FI) SRRM2"
"FI","predicted","-","0.64",,"BRAF (FI) HSP90AB1","false",,"BRAF (FI) HSP90AB1"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"IRS1 (FI) PRKCE","false",,"IRS1 (FI) PRKCE"
"FI","predicted","-","0.64",,"AKT1 (FI) GATA2","false",,"AKT1 (FI) GATA2"
"FI","predicted","-","0.64",,"GRIN2D (FI) SYNGAP1","false",,"GRIN2D (FI) SYNGAP1"
"FI","activate; catalyze","->","1.0",,"NRAS (FI) RAC1","false",,"NRAS (FI) RAC1"
"FI","expression regulated by","<-","1.0",,"ERN1 (FI) TAF1","false",,"ERN1 (FI) TAF1"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR2T11 (FI) PRKACA","false",,"OR2T11 (FI) PRKACA"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR52E8 (FI) PRKACA","false",,"OR52E8 (FI) PRKACA"
"FI","expression regulated by","<-","1.0",,"APP (FI) USF1","false",,"APP (FI) USF1"
"FI","expression regulated by","<-","1.0",,"APP (FI) USF2","false",,"APP (FI) USF2"
"FI","predicted","-","0.64",,"RXRB (FI) TRIM27","false",,"RXRB (FI) TRIM27"
"FI","expression regulates","->","1.0",,"REST (FI) TRPM2","false",,"REST (FI) TRPM2"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR2T27 (FI) PRKACA","false",,"OR2T27 (FI) PRKACA"
"FI","GErel: expression by; expression regulated by; reaction","<-","1.0",,"FOS (FI) STAT3","false",,"FOS (FI) STAT3"
"FI","complex","-","1.0",,"KLHL2 (FI) RBX1","false",,"KLHL2 (FI) RBX1"
"FI","activate","->","1.0",,"CSNK1E (FI) TP53","false",,"CSNK1E (FI) TP53"
"FI","PPrel: activation; PPrel: binding/association; activate; complex; inhibited by; input; reaction","|->","1.0",,"EGFR (FI) GRB2","false",,"EGFR (FI) GRB2"
"FI","activate","->","1.0",,"NOS1 (FI) PRKACA","false",,"NOS1 (FI) PRKACA"
"FI","complex; input","-","1.0",,"HNRNPL (FI) POLR2F","false",,"HNRNPL (FI) POLR2F"
"FI","catalyze; input","->","1.0",,"JAK1 (FI) UBC","false",,"JAK1 (FI) UBC"
"FI","PPrel: binding/association; complex","-","1.0",,"ABL1 (FI) RB1","false",,"ABL1 (FI) RB1"
"FI","predicted","-","0.64",,"APP (FI) GRK6","false",,"APP (FI) GRK6"
"FI","PPrel: activated by; reaction","<-","1.0",,"HDAC1 (FI) MECOM","false",,"HDAC1 (FI) MECOM"
"FI","predicted","-","0.64",,"BAX (FI) UHRF2","false",,"BAX (FI) UHRF2"
"FI","complex; input","-","1.0",,"FOS (FI) H3C15","false",,"FOS (FI) H3C15"
"FI","catalyzed by; complex; input","<-","1.0",,"COL5A1 (FI) PTK2B","false",,"COL5A1 (FI) PTK2B"
"FI","predicted","-","0.64",,"BTG1 (FI) JUN","false",,"BTG1 (FI) JUN"
"FI","complex; input","-","1.0",,"CCNC (FI) MAML2","false",,"CCNC (FI) MAML2"
"FI","expression regulated by","<-","1.0",,"CCNT1 (FI) USF2","false",,"CCNT1 (FI) USF2"
"FI","predicted","-","0.64",,"KMT2E (FI) TP53","false",,"KMT2E (FI) TP53"
"FI","PPrel: binding/association; PPrel: dissociation","-","1.0",,"ACTA2 (FI) MYH14","false",,"ACTA2 (FI) MYH14"
"FI","predicted","-","0.63",,"EZR (FI) GRB2","false",,"EZR (FI) GRB2"
"FI","expression regulated by","<-","1.0",,"CCNT1 (FI) USF1","false",,"CCNT1 (FI) USF1"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR2T35 (FI) PRKACA","false",,"OR2T35 (FI) PRKACA"
"FI","expression regulates","->","1.0",,"CTBP2 (FI) WNT1","false",,"CTBP2 (FI) WNT1"
"FI","complex; input","-","1.0",,"HNRNPL (FI) POLR2A","false",,"HNRNPL (FI) POLR2A"
"FI","activate","->","1.0",,"RAC1 (FI) STAT3","false",,"RAC1 (FI) STAT3"
"FI","complex; input","-","1.0",,"AMER1 (FI) RBX1","false",,"AMER1 (FI) RBX1"
"FI","GErel: expression by; expression regulated by","<-","1.0",,"FOS (FI) STAT1","false",,"FOS (FI) STAT1"
"FI","input","-","1.0",,"FAT2 (FI) PCDHB8","false",,"FAT2 (FI) PCDHB8"
"FI","activated by","<-","1.0",,"MYO1C (FI) MYO5A","false",,"MYO1C (FI) MYO5A"
"FI","complex; input","-","1.0",,"GRB2 (FI) SPTA1","false",,"GRB2 (FI) SPTA1"
"FI","activate; catalyze; complex; input; reaction","->","1.0",,"CD247 (FI) VAV1","false",,"CD247 (FI) VAV1"
"FI","complex; input; reaction","-","1.0",,"JMY (FI) TP53","false",,"JMY (FI) TP53"
"FI","catalyzed by; complex; input","<-","1.0",,"ESR1 (FI) HSP90AB1","false",,"ESR1 (FI) HSP90AB1"
"FI","predicted","-","0.97",,"RYR2 (FI) RYR3","false",,"RYR2 (FI) RYR3"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR1K1 (FI) PRKACA","false",,"OR1K1 (FI) PRKACA"
"FI","complex; input","-","1.0",,"CLIP1 (FI) DNAH1","false",,"CLIP1 (FI) DNAH1"
"FI","complex; input","-","1.0",,"PABPC1 (FI) RPL10","false",,"PABPC1 (FI) RPL10"
"FI","expression regulated by","<-","1.0",,"RB1 (FI) TAL1","false",,"RB1 (FI) TAL1"
"FI","complex; input","-","1.0",,"CLIP1 (FI) DNAH5","false",,"CLIP1 (FI) DNAH5"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR1K1 (FI) PRKACB","false",,"OR1K1 (FI) PRKACB"
"FI","complex; input","-","1.0",,"KRT38 (FI) KRT8","false",,"KRT38 (FI) KRT8"
"FI","complex; input","-","1.0",,"DCTN1 (FI) SPTBN4","false",,"DCTN1 (FI) SPTBN4"
"FI","complex","-","1.0",,"BAZ1B (FI) TOP2B","false",,"BAZ1B (FI) TOP2B"
"FI","catalyze","->","1.0",,"RBBP8 (FI) TP53","false",,"RBBP8 (FI) TP53"
"FI","complex; input","-","1.0",,"ACTB (FI) MYH7","false",,"ACTB (FI) MYH7"
"FI","PPrel: binding/association; complex; input","-","1.0",,"ACTB (FI) MYH9","false",,"ACTB (FI) MYH9"
"FI","PPrel: activated by; activated by; complex; expression regulated by; inhibited by; input; reaction","-","1.0",,"FOS (FI) JUN","false",,"FOS (FI) JUN"
"FI","expression regulated by","<-","1.0",,"STAT3 (FI) TP53","false",,"STAT3 (FI) TP53"
"FI","complex; input","-","1.0",,"ACTB (FI) MYH6","false",,"ACTB (FI) MYH6"
"FI","predicted","-","0.63",,"TP53 (FI) TPTE2","false",,"TP53 (FI) TPTE2"
"FI","PPrel: activated by; complex; input","<-","1.0",,"GNB1 (FI) OR9G1","false",,"GNB1 (FI) OR9G1"
"FI","activated by","<-","1.0",,"MYH9 (FI) OTOG","false",,"MYH9 (FI) OTOG"
"FI","catalyze; catalyzed by; complex; input","<->","1.0",,"HUWE1 (FI) UBC","false",,"HUWE1 (FI) UBC"
"FI","PPrel: binding/association","-","1.0",,"FLNC (FI) ITGA2","false",,"FLNC (FI) ITGA2"
"FI","PPrel: activation, phosphorylation; activated by","<->","1.0",,"HCK (FI) PTK2B","false",,"HCK (FI) PTK2B"
"FI","PPrel: activation; PPrel: inhibition; complex; input","-","1.0",,"NF1 (FI) NRAS","false",,"NF1 (FI) NRAS"
"FI","predicted","-","0.98",,"APP (FI) ITGB1","false",,"APP (FI) ITGB1"
"FI","catalyze","->","1.0",,"DENND2A (FI) GDI2","false",,"DENND2A (FI) GDI2"
"FI","complex; input","-","1.0",,"NF1 (FI) STAT3","false",,"NF1 (FI) STAT3"
"FI","PPrel: activation, indirect effect; activate; catalyze; inhibite","-","1.0",,"GRB2 (FI) NRAS","false",,"GRB2 (FI) NRAS"
"FI","predicted","-","0.97",,"ZNF345 (FI) ZNF473","false",,"ZNF345 (FI) ZNF473"
"FI","catalyze; input","->","1.0",,"SYVN1 (FI) UBC","false",,"SYVN1 (FI) UBC"
"FI","predicted","-","0.52",,"BCLAF1 (FI) TOP2B","false",,"BCLAF1 (FI) TOP2B"
"FI","PPrel: inhibited by, phosphorylated by","|-","1.0",,"OR5C1 (FI) PRKACA","false",,"OR5C1 (FI) PRKACA"
"FI","predicted","-","0.64",,"CIITA (FI) ZXDA","false",,"CIITA (FI) ZXDA"
"FI","predicted","-","0.64",,"APPL1 (FI) C1QTNF9","false",,"APPL1 (FI) C1QTNF9"
"FI","complex","-","1.0",,"CASK (FI) MYO1C","false",,"CASK (FI) MYO1C"
"FI","PPrel: inhibition, phosphorylation","-|","1.0",,"ARRB2 (FI) OR1J1","false",,"ARRB2 (FI) OR1J1"
"FI","PPrel: state change; complex; expression regulates; input","->","1.0",,"STAT1 (FI) STAT3","false",,"STAT1 (FI) STAT3"
"FI","PPrel: binding/association","-","1.0",,"FLNC (FI) ITGB1","false",,"FLNC (FI) ITGB1"
"FI","complex; input","-","1.0",,"EDN1 (FI) GNB1","false",,"EDN1 (FI) GNB1"
"FI","PPrel: compound","-","1.0",,"NOS1 (FI) RYR3","false",,"NOS1 (FI) RYR3"
"FI","catalyze; complex; input","->","1.0",,"MYH6 (FI) TTN","false",,"MYH6 (FI) TTN"
"FI","PPrel: inhibited by, phosphorylated by; activated by","-","1.0",,"CTNNB1 (FI) FYN","false",,"CTNNB1 (FI) FYN"
"FI","PPrel: activated by, phosphorylation; PPrel: phosphorylated by; catalyzed by","<-","1.0",,"ESR1 (FI) MAPK1","false",,"ESR1 (FI) MAPK1"
"FI","complex; input","-","1.0",,"APBB1IP (FI) VWF","false",,"APBB1IP (FI) VWF"
"FI","complex; input","-","1.0",,"KRT18 (FI) KRT8","false",,"KRT18 (FI) KRT8"
"FI","activated by; complex; inhibite; input","<-|","1.0",,"GRB2 (FI) STAT3","false",,"GRB2 (FI) STAT3"
"FI","complex","-","1.0",,"GSN (FI) USH1C","false",,"GSN (FI) USH1C"
"FI","complex","-","1.0",,"ACTB (FI) EP400","false",,"ACTB (FI) EP400"
"FI","expression regulated by","<-","1.0",,"FN1 (FI) JUN","false",,"FN1 (FI) JUN"
"FI","activated by; complex; inhibited by; reaction","-","1.0",,"CALM3 (FI) RAC1","false",,"CALM3 (FI) RAC1"
"FI","catalyzed by","<-","1.0",,"HLA-DQA1 (FI) PDCD1LG2","false",,"HLA-DQA1 (FI) PDCD1LG2"
"FI","activated by","<-","1.0",,"EXOC7 (FI) MYH9","false",,"EXOC7 (FI) MYH9"
"FI","PPrel: activation","->","1.0",,"HLA-C (FI) KLRC2","false",,"HLA-C (FI) KLRC2"
"FI","expression regulated by","<-","1.0",,"MYH9 (FI) USF1","false",,"MYH9 (FI) USF1"
"FI","PPrel: activation; PPrel: inhibition; activate; complex; expression regulates; inhibite; input; reaction","-","1.0",,"EP300 (FI) TP53","false",,"EP300 (FI) TP53"
"FI","expression regulated by","<-","1.0",,"MYH9 (FI) USF2","false",,"MYH9 (FI) USF2"
"FI","predicted","-","0.61",,"MBOAT7 (FI) WNT1","false",,"MBOAT7 (FI) WNT1"
"FI","complex","-","1.0",,"CSNK1E (FI) DCTN1","false",,"CSNK1E (FI) DCTN1"
"FI","predicted","-","0.92",,"RAD21 (FI) SMC4","false",,"RAD21 (FI) SMC4"
"FI","expression regulates","->","1.0",,"RXRA (FI) ZNF587","false",,"RXRA (FI) ZNF587"
"FI","expression regulated by","<-","1.0",,"BOD1 (FI) RAD21","false",,"BOD1 (FI) RAD21"
