"evidence: CCMI","evidence: Co-dependence","evidence: mRNA co-expression","evidence: Physical","evidence: Protein co-expression","evidence: Sequence similarity","Integrated score","interaction","name","selected","shared interaction","shared name"
"0","0.013","0.222","0.464","0.24","0.565","0.623","interacts-with","TAF1 (interacts-with) TBP","false","interacts-with","TAF1 (interacts-with) TBP"
"0","0.028","0.532","0.115","0.054","0.0","0.392","interacts-with","MYH7 (interacts-with) NEB","false","interacts-with","MYH7 (interacts-with) NEB"
"0","0.046","0.35","0.459","0.376","0.0","0.528","interacts-with","BCLAF1 (interacts-with) U2AF2","false","interacts-with","BCLAF1 (interacts-with) U2AF2"
"0","0.26","0.234","0.232","0.129","0.036","0.184","interacts-with","BAZ1B (interacts-with) BOD1","false","interacts-with","BAZ1B (interacts-with) BOD1"
"0","0.05","0.357","0.014","0.193","0.036","0.2","interacts-with","ZNF626 (interacts-with) ZNF708","false","interacts-with","ZNF626 (interacts-with) ZNF708"
"0","0.07","0.361","0.228","0.001","0.002","0.244","interacts-with","MYH7 (interacts-with) PDE4DIP","false","interacts-with","MYH7 (interacts-with) PDE4DIP"
"0","0.014","0.225","0.077","0.372","0.36","0.239","interacts-with","APOB (interacts-with) LPA","false","interacts-with","APOB (interacts-with) LPA"
"0","0.033","0.165","0.07","0.418","0.185","0.226","interacts-with","NEFH (interacts-with) VCL","false","interacts-with","NEFH (interacts-with) VCL"
"0","0.065","0.336","0.182","0.038","0.014","0.239","interacts-with","MYH7 (interacts-with) OBSCN","false","interacts-with","MYH7 (interacts-with) OBSCN"
"0","0.001","0.476","0.024","0.106","0.084","0.349","interacts-with","LILRB1 (interacts-with) TRPM2","false","interacts-with","LILRB1 (interacts-with) TRPM2"
"0","0.005","0.464","0.196","0.462","0.0","0.395","interacts-with","FLNA (interacts-with) ILK","false","interacts-with","FLNA (interacts-with) ILK"
"0","0.126","0.406","0.014","0.291","0.036","0.288","interacts-with","SIGLEC1 (interacts-with) STAB1","false","interacts-with","SIGLEC1 (interacts-with) STAB1"
"0","0.034","0.467","0.014","0.063","0.036","0.305","interacts-with","MYH6 (interacts-with) XIRP1","false","interacts-with","MYH6 (interacts-with) XIRP1"
"0","0.022","0.305","0.395","0.086","0.109","0.28","interacts-with","MYO5A (interacts-with) SPTAN1","false","interacts-with","MYO5A (interacts-with) SPTAN1"
"0","0.031","0.422","0.004","0.067","0.091","0.247","interacts-with","MYH7 (interacts-with) MYO18B","false","interacts-with","MYH7 (interacts-with) MYO18B"
"0","0.054","0.577","0.771","0.192","0.008","0.701","interacts-with","EP400 (interacts-with) TRRAP","false","interacts-with","EP400 (interacts-with) TRRAP"
"0","0.139","0.419","0.014","0.259","0.371","0.274","interacts-with","SIGLEC1 (interacts-with) SIRPA","false","interacts-with","SIGLEC1 (interacts-with) SIRPA"
"0","0.022","0.336","0.193","0.067","0.132","0.254","interacts-with","KRT38 (interacts-with) KRT86","false","interacts-with","KRT38 (interacts-with) KRT86"
"0","0.084","0.408","0.04","0.07","0.241","0.25","interacts-with","MYH7 (interacts-with) MYLK3","false","interacts-with","MYH7 (interacts-with) MYLK3"
"0","0.057","0.417","0.183","0.138","0.001","0.333","interacts-with","ASH1L (interacts-with) NIPBL","false","interacts-with","ASH1L (interacts-with) NIPBL"
"0","0.003","0.377","0.014","0.02","0.036","0.191","interacts-with","MEI1 (interacts-with) SLAMF7","false","interacts-with","MEI1 (interacts-with) SLAMF7"
"0","0.042","0.433","0.014","0.02","0.036","0.23","interacts-with","MEI1 (interacts-with) SP140","false","interacts-with","MEI1 (interacts-with) SP140"
"0","0.002","0.411","0.048","0.401","0.109","0.295","interacts-with","MYH11 (interacts-with) PGM5","false","interacts-with","MYH11 (interacts-with) PGM5"
"0","0.059","0.529","0.441","0.002","0.075","0.492","interacts-with","KRT5 (interacts-with) KRT6C","false","interacts-with","KRT5 (interacts-with) KRT6C"
"0","0.004","0.494","0.034","0.438","0.013","0.288","interacts-with","DOCK8 (interacts-with) INPP5D","false","interacts-with","DOCK8 (interacts-with) INPP5D"
"0","0.158","0.44","0.427","0.24","0.287","0.349","interacts-with","KRT5 (interacts-with) KRT6B","false","interacts-with","KRT5 (interacts-with) KRT6B"
"0","0.027","0.53","0.143","0.225","0.003","0.367","interacts-with","FCGR2A (interacts-with) LILRB2","false","interacts-with","FCGR2A (interacts-with) LILRB2"
"0","0.09","0.412","0.055","0.199","0.011","0.29","interacts-with","FCGR2A (interacts-with) LILRB1","false","interacts-with","FCGR2A (interacts-with) LILRB1"
"0","0.097","0.387","0.029","0.005","0.07","0.232","interacts-with","FCGR2A (interacts-with) LILRA2","false","interacts-with","FCGR2A (interacts-with) LILRA2"
"0","0.237","0.376","0.091","0.061","0.005","0.273","interacts-with","MYH7 (interacts-with) RYR1","false","interacts-with","MYH7 (interacts-with) RYR1"
"0","0.315","0.407","0.014","0.165","0.036","0.231","interacts-with","SIGLEC1 (interacts-with) TRPM2","false","interacts-with","SIGLEC1 (interacts-with) TRPM2"
"0","0.039","0.528","0.095","0.524","0.007","0.556","interacts-with","DOCK2 (interacts-with) DOCK8","false","interacts-with","DOCK2 (interacts-with) DOCK8"
"0","0.039","0.362","0.005","0.073","0.005","0.214","interacts-with","MYH7 (interacts-with) SCN4A","false","interacts-with","MYH7 (interacts-with) SCN4A"
"0","0.21","0.442","0.055","0.054","0.085","0.348","interacts-with","FCGR2A (interacts-with) LILRA1","false","interacts-with","FCGR2A (interacts-with) LILRA1"
"0","0.126","0.248","0.41","0.355","0.097","0.311","interacts-with","GSN (interacts-with) SVIL","false","interacts-with","GSN (interacts-with) SVIL"
"0","0.025","0.26","0.224","0.383","0.014","0.274","interacts-with","NELFE (interacts-with) NUP153","false","interacts-with","NELFE (interacts-with) NUP153"
"0","0.011","0.294","0.036","0.439","0.007","0.287","interacts-with","APBB1IP (interacts-with) INPP5D","false","interacts-with","APBB1IP (interacts-with) INPP5D"
"0","0.011","0.412","0.216","0.299","0.075","0.297","interacts-with","FANCD2 (interacts-with) PRIM2","false","interacts-with","FANCD2 (interacts-with) PRIM2"
"0","0.051","0.387","0.415","0.292","0.036","0.327","interacts-with","SCAF1 (interacts-with) U2AF2","false","interacts-with","SCAF1 (interacts-with) U2AF2"
"0","0.047","0.339","0.076","0.361","0.119","0.244","interacts-with","C3 (interacts-with) LPA","false","interacts-with","C3 (interacts-with) LPA"
"0","0.083","0.198","0.525","0.133","0.108","0.493","interacts-with","BRAF (interacts-with) YWHAZ","false","interacts-with","BRAF (interacts-with) YWHAZ"
"0","0.129","0.528","0.16","0.067","0.441","0.492","interacts-with","MYH7 (interacts-with) TTN","false","interacts-with","MYH7 (interacts-with) TTN"
"0","0.104","0.267","0.127","0.081","0.009","0.188","interacts-with","PDE4DIP (interacts-with) TTN","false","interacts-with","PDE4DIP (interacts-with) TTN"
"0","0.026","0.189","0.175","0.525","0.015","0.293","interacts-with","RRP7A (interacts-with) WDR3","false","interacts-with","RRP7A (interacts-with) WDR3"
"0","0.272","0.37","0.529","0.467","0.528","0.66","interacts-with","SF3A3 (interacts-with) SNRNP200","false","interacts-with","SF3A3 (interacts-with) SNRNP200"
"0","0.004","0.405","0.118","0.517","0.075","0.308","interacts-with","CNN2 (interacts-with) FLNA","false","interacts-with","CNN2 (interacts-with) FLNA"
"0","0.044","0.214","0.433","0.18","0.15","0.359","interacts-with","ITPR3 (interacts-with) MYO1C","false","interacts-with","ITPR3 (interacts-with) MYO1C"
"0","0.068","0.428","0.434","0.204","0.001","0.326","interacts-with","KMT2B (interacts-with) SETD1A","false","interacts-with","KMT2B (interacts-with) SETD1A"
"0","0.076","0.504","0.002","0.354","0.095","0.416","interacts-with","HELZ2 (interacts-with) OAS3","false","interacts-with","HELZ2 (interacts-with) OAS3"
"0","0.09","0.314","0.222","0.235","0.01","0.234","interacts-with","HERC2 (interacts-with) PRRC2A","false","interacts-with","HERC2 (interacts-with) PRRC2A"
"0","0.051","0.346","0.028","0.002","0.015","0.186","interacts-with","FCGR2A (interacts-with) MGAM","false","interacts-with","FCGR2A (interacts-with) MGAM"
"0","0.082","0.289","0.079","0.046","0.124","0.204","interacts-with","LILRB2 (interacts-with) NAIP","false","interacts-with","LILRB2 (interacts-with) NAIP"
"0","0.023","0.493","0.091","0.533","0.221","0.553","interacts-with","DOCK2 (interacts-with) VAV1","false","interacts-with","DOCK2 (interacts-with) VAV1"
"0","0.355","0.215","0.367","0.161","0.003","0.227","interacts-with","C1D (interacts-with) DIS3","false","interacts-with","C1D (interacts-with) DIS3"
